 ,Area,Mean,Min,Max
1,9499,255,255,255
2,7740,255,255,255
3,12304,255,255,255
4,9337,255,255,255
5,8731,255,255,255
6,10649,255,255,255
7,8615,255,255,255
8,8605,255,255,255
9,8543,255,255,255
10,9082,255,255,255
11,9795,255,255,255
12,9534,255,255,255
13,7704,255,255,255
14,7795,255,255,255
15,8661,255,255,255
16,8290,255,255,255
17,11274,255,255,255
18,9401,255,255,255
19,9419,255,255,255
20,9512,255,255,255
21,9677,255,255,255
22,8318,255,255,255
23,10998,255,255,255
24,11938,255,255,255
25,10577,255,255,255
26,8543,255,255,255
27,9820,255,255,255
28,9664,255,255,255
29,10792,255,255,255
30,8421,255,255,255
31,9597,255,255,255
32,13331,255,255,255
33,9322,255,255,255
34,9200,255,255,255
35,6356,255,255,255
36,9027,255,255,255
37,12314,255,255,255
38,9108,255,255,255
39,8761,255,255,255
40,9118,255,255,255
41,9155,255,255,255
42,11123,255,255,255
43,10039,255,255,255
44,7160,255,255,255
45,8288,255,255,255
46,8649,255,255,255
47,10942,255,255,255
48,9850,255,255,255
49,12424,255,255,255
50,8009,255,255,255
51,8255,255,255,255
52,8734,255,255,255
53,10292,255,255,255
54,11238,255,255,255
55,11764,255,255,255
56,21065,255,255,255
57,6948,255,255,255
58,10402,255,255,255
59,10224,255,255,255
60,8243,255,255,255
