 ,Area,Mean,Min,Max
1,7585,255,255,255
2,8908,255,255,255
3,12344,255,255,255
4,12723,255,255,255
5,9097,255,255,255
6,9173,255,255,255
7,7702,255,255,255
8,34336,255,255,255
9,11052,255,255,255
10,9299,255,255,255
11,6478,255,255,255
12,15434,255,255,255
13,19839,255,255,255
14,12317,255,255,255
15,8685,255,255,255
16,10431,255,255,255
17,12475,255,255,255
18,7569,255,255,255
19,8014,255,255,255
20,8880,255,255,255
21,8154,255,255,255
22,7039,255,255,255
23,10146,255,255,255
24,9735,255,255,255
25,10778,255,255,255
26,9786,255,255,255
27,10325,255,255,255
28,13709,255,255,255
29,7999,255,255,255
30,6413,255,255,255
31,10815,255,255,255
32,10265,255,255,255
33,7915,255,255,255
34,10096,255,255,255
35,8252,255,255,255
36,8157,255,255,255
37,12961,255,255,255
38,9883,255,255,255
39,8301,255,255,255
40,11306,255,255,255
41,9442,255,255,255
42,9259,255,255,255
43,11308,255,255,255
44,7301,255,255,255
45,27811,255,255,255
46,10959,255,255,255
47,11505,255,255,255
48,8169,255,255,255
49,9725,255,255,255
50,8499,255,255,255
51,11480,255,255,255
52,9157,255,255,255
53,10108,255,255,255
54,8399,255,255,255
55,8417,255,255,255
56,11632,255,255,255
57,47101,255,255,255
58,11268,255,255,255
59,8412,255,255,255
60,8301,255,255,255
61,10013,255,255,255
62,11905,255,255,255
63,8983,255,255,255
64,8941,255,255,255
65,9476,255,255,255
66,7432,255,255,255
67,10151,255,255,255
68,6831,255,255,255
69,10108,255,255,255
70,12138,255,255,255
71,8621,255,255,255
72,10620,255,255,255
73,7285,255,255,255
74,9055,255,255,255
75,23562,255,255,255
76,9316,255,255,255
77,8294,255,255,255
78,9294,255,255,255
79,9954,255,255,255
80,8382,255,255,255
81,5935,255,255,255
82,26061,255,255,255
83,6904,255,255,255
84,9505,255,255,255
85,24395,255,255,255
86,7946,255,255,255
87,7483,255,255,255
88,8026,255,255,255
89,10948,255,255,255
90,10609,255,255,255
91,10682,255,255,255
92,10796,255,255,255
93,8759,255,255,255
94,10471,255,255,255
95,8378,255,255,255
96,7238,255,255,255
97,10349,255,255,255
98,8234,255,255,255
99,9745,255,255,255
100,10479,255,255,255
101,24349,255,255,255
102,9894,255,255,255
103,9389,255,255,255
104,7641,255,255,255
105,10690,255,255,255
106,6953,255,255,255
107,7541,255,255,255
108,11346,255,255,255
109,7790,255,255,255
110,7390,255,255,255
111,8688,255,255,255
112,762,255,255,255
113,11147,255,255,255
114,9774,255,255,255
115,13420,255,255,255
116,12105,255,255,255
117,12336,255,255,255
118,7922,255,255,255
119,7788,255,255,255
120,11313,255,255,255
121,9746,255,255,255
122,6841,255,255,255
123,13045,255,255,255
124,9440,255,255,255
125,11427,255,255,255
126,8108,255,255,255
127,9683,255,255,255
128,9756,255,255,255
129,9493,255,255,255
130,10211,255,255,255
131,8016,255,255,255
132,10063,255,255,255
133,9739,255,255,255
134,11117,255,255,255
135,12804,255,255,255
136,10257,255,255,255
137,12247,255,255,255
138,10861,255,255,255
139,8074,255,255,255
140,12305,255,255,255
141,9082,255,255,255
142,9608,255,255,255
143,11471,255,255,255
144,8800,255,255,255
145,12059,255,255,255
146,9026,255,255,255
147,10059,255,255,255
148,11435,255,255,255
149,11471,255,255,255
150,9078,255,255,255
151,8434,255,255,255
152,7826,255,255,255
