 ,Area,Mean,Min,Max
1,51,255,255,255
2,57,255,255,255
3,54,255,255,255
4,118,255,255,255
5,83,255,255,255
6,55,255,255,255
7,60,255,255,255
8,73,255,255,255
9,51,255,255,255
10,50,255,255,255
11,51,255,255,255
12,50,255,255,255
13,60,255,255,255
14,67,255,255,255
15,69,255,255,255
16,92,255,255,255
17,62,255,255,255
18,56,255,255,255
19,88,255,255,255
20,103,255,255,255
21,53,255,255,255
22,72,255,255,255
23,85,255,255,255
24,51,255,255,255
25,87,255,255,255
26,83,255,255,255
27,82,255,255,255
28,62,255,255,255
29,65,255,255,255
30,54,255,255,255
31,115,255,255,255
32,53,255,255,255
33,62,255,255,255
34,71,255,255,255
35,55,255,255,255
36,55,255,255,255
37,55,255,255,255
38,76,255,255,255
39,51,255,255,255
40,77,255,255,255
41,64,255,255,255
42,75,255,255,255
43,66,255,255,255
44,84,255,255,255
45,75,255,255,255
46,68,255,255,255
