 ,Area,Mean,Min,Max
1,9282,255,255,255
2,7914,255,255,255
3,9971,255,255,255
4,10755,255,255,255
5,9893,255,255,255
6,7244,255,255,255
7,9190,255,255,255
8,7990,255,255,255
9,9817,255,255,255
10,8393,255,255,255
11,6441,255,255,255
12,7949,255,255,255
13,10023,255,255,255
14,11053,255,255,255
15,9989,255,255,255
16,10066,255,255,255
17,13362,255,255,255
18,7597,255,255,255
19,10235,255,255,255
20,11065,255,255,255
21,10108,255,255,255
22,8903,255,255,255
23,9487,255,255,255
24,7767,255,255,255
25,9581,255,255,255
26,9554,255,255,255
27,11045,255,255,255
28,10458,255,255,255
29,7392,255,255,255
30,10518,255,255,255
31,8061,255,255,255
32,10827,255,255,255
33,9457,255,255,255
34,9270,255,255,255
35,10174,255,255,255
36,8806,255,255,255
37,9252,255,255,255
38,9508,255,255,255
39,7984,255,255,255
40,11538,255,255,255
41,8671,255,255,255
42,7190,255,255,255
43,9219,255,255,255
44,11664,255,255,255
45,6950,255,255,255
46,10527,255,255,255
47,9176,255,255,255
48,7834,255,255,255
49,11753,255,255,255
50,10372,255,255,255
51,10702,255,255,255
52,10694,255,255,255
53,6727,255,255,255
54,10937,255,255,255
55,8448,255,255,255
56,9649,255,255,255
57,6618,255,255,255
58,9712,255,255,255
59,8450,255,255,255
60,10344,255,255,255
61,11509,255,255,255
62,9711,255,255,255
63,9147,255,255,255
64,8601,255,255,255
65,9899,255,255,255
66,9400,255,255,255
67,12803,255,255,255
68,8038,255,255,255
69,8865,255,255,255
70,10919,255,255,255
71,7447,255,255,255
72,10329,255,255,255
73,7552,255,255,255
74,11740,255,255,255
75,6968,255,255,255
76,8938,255,255,255
77,8633,255,255,255
78,9782,255,255,255
79,10614,255,255,255
80,8559,255,255,255
81,10009,255,255,255
82,9853,255,255,255
83,9514,255,255,255
84,9592,255,255,255
85,10206,255,255,255
86,9676,255,255,255
87,11465,255,255,255
88,9004,255,255,255
89,9896,255,255,255
90,7828,255,255,255
91,11204,255,255,255
92,6360,255,255,255
93,12293,255,255,255
94,11041,255,255,255
95,8888,255,255,255
96,11866,255,255,255
97,7901,255,255,255
98,14741,255,255,255
99,7749,255,255,255
100,11371,255,255,255
101,11341,255,255,255
102,10937,255,255,255
103,8177,255,255,255
104,10439,255,255,255
105,6190,255,255,255
106,9457,255,255,255
107,8705,255,255,255
108,9263,255,255,255
109,11901,255,255,255
110,8562,255,255,255
111,11127,255,255,255
112,9225,255,255,255
113,11486,255,255,255
114,9943,255,255,255
115,12722,255,255,255
116,12892,255,255,255
117,8997,255,255,255
118,12294,255,255,255
119,13620,255,255,255
120,9279,255,255,255
121,10193,255,255,255
