 ,Area,Mean,Min,Max
1,9447,255,255,255
2,10429,255,255,255
3,8574,255,255,255
4,11654,255,255,255
5,8755,255,255,255
6,11585,255,255,255
7,9946,255,255,255
8,11544,255,255,255
9,11405,255,255,255
10,11734,255,255,255
11,10025,255,255,255
12,9774,255,255,255
13,8456,255,255,255
14,10364,255,255,255
15,10840,255,255,255
16,7562,255,255,255
17,8640,255,255,255
18,7384,255,255,255
19,9805,255,255,255
20,8273,255,255,255
21,10130,255,255,255
22,8592,255,255,255
23,9486,255,255,255
24,12208,255,255,255
25,11507,255,255,255
26,12841,255,255,255
27,12688,255,255,255
28,9295,255,255,255
29,7871,255,255,255
30,9550,255,255,255
31,10566,255,255,255
32,11111,255,255,255
33,10883,255,255,255
34,7563,255,255,255
35,7633,255,255,255
36,10365,255,255,255
37,7504,255,255,255
38,7688,255,255,255
39,10659,255,255,255
40,9575,255,255,255
41,9181,255,255,255
42,8351,255,255,255
43,8211,255,255,255
44,10246,255,255,255
45,10194,255,255,255
46,7021,255,255,255
47,10001,255,255,255
48,7394,255,255,255
49,6573,255,255,255
50,8716,255,255,255
51,7296,255,255,255
52,9846,255,255,255
53,11003,255,255,255
54,8988,255,255,255
55,8536,255,255,255
56,8436,255,255,255
57,9987,255,255,255
58,7681,255,255,255
59,9878,255,255,255
60,11835,255,255,255
61,11095,255,255,255
62,10427,255,255,255
63,8611,255,255,255
64,9713,255,255,255
65,10098,255,255,255
66,8079,255,255,255
67,9206,255,255,255
68,8923,255,255,255
69,7172,255,255,255
70,6880,255,255,255
71,9077,255,255,255
72,9686,255,255,255
73,10605,255,255,255
74,7797,255,255,255
75,9926,255,255,255
76,10863,255,255,255
77,7193,255,255,255
78,7703,255,255,255
79,7763,255,255,255
80,9403,255,255,255
81,8237,255,255,255
82,8128,255,255,255
83,9663,255,255,255
84,11249,255,255,255
85,8225,255,255,255
86,9101,255,255,255
87,8084,255,255,255
88,12289,255,255,255
89,9413,255,255,255
90,8232,255,255,255
91,10546,255,255,255
92,9345,255,255,255
93,8764,255,255,255
94,10813,255,255,255
95,10996,255,255,255
96,10018,255,255,255
97,12021,255,255,255
98,7646,255,255,255
99,10625,255,255,255
100,10249,255,255,255
101,12182,255,255,255
102,12357,255,255,255
103,14976,255,255,255
104,10374,255,255,255
105,7682,255,255,255
106,7920,255,255,255
107,10909,255,255,255
108,11417,255,255,255
109,8966,255,255,255
110,11577,255,255,255
111,10643,255,255,255
112,10118,255,255,255
113,13918,255,255,255
114,9158,255,255,255
115,6936,255,255,255
116,10802,255,255,255
117,11917,255,255,255
118,9215,255,255,255
119,10176,255,255,255
120,10271,255,255,255
121,9870,255,255,255
122,8067,255,255,255
123,9047,255,255,255
124,10284,255,255,255
125,14746,255,255,255
126,10589,255,255,255
127,8567,255,255,255
128,10079,255,255,255
129,8703,255,255,255
130,9570,255,255,255
131,9054,255,255,255
132,8800,255,255,255
133,9678,255,255,255
134,8438,255,255,255
